,acc_csp,acc_rcsp1,acc_rcsp2,acc_rcsp3,class_used,csp_used,file
0,78.2353,74.8529,74.8529,74.8529,classifier_with_csp_1,csp_1,C://Users//wap//Desktop//Nova pasta//tutorial//ov_files//ov_file1_trn.ov
1,86.3725,86.7647,86.7647,86.7647,classifier_with_csp_2,csp_2,C://Users//wap//Desktop//Nova pasta//tutorial//ov_files//ov_file2_trn.ov
